Description,Date,Day,Week,Activity,Activity Detail,Priority,Distance,Elevation,Duration,Target Pace/Effort,HR Zone,Training Goal,Workout Details
5 mi easy run,2026-05-18,Monday,17,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Pre-traverse easy,Light shakeout; prepare for big day
Presidential Traverse,2026-05-19,Tuesday,17,Run,Run - Long Run,Key Workout,20-23 miles,8500 ft,8-10 hrs,Moderate,Z2-Z3,PRESIDENTIAL TRAVERSE,Supported training run; practice race nutrition and pacing; mental toughness
Rest day,2026-05-20,Wednesday,17,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest after big effort
4 mi easy run,2026-05-21,Thursday,17,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1,Active recovery,Very easy flat run
6 mi easy run,2026-05-22,Friday,17,Run,Run - Easy,Important,6 miles,400 ft,60 min,Easy,Z1-Z2,Recovery run,Easy trail run; loose and relaxed
Yoga/Mobility,2026-05-23,Saturday,17,Yoga/Mobility,Yoga/Mobility,Important,-,-,45 min,-,-,Deep recovery,Extended stretching and recovery
Rest day,2026-05-24,Sunday,18,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day (Memorial Day weekend)
6 mi easy run,2026-05-25,Monday,18,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Return to training,Easy conversational run
7 mi easy hills,2026-05-26,Tuesday,18,Run,Run - Easy,Important,7 miles,600 ft,68 min,Easy,Z2,Easy hills,Easy run with gentle climbing
6 mi easy run,2026-05-27,Wednesday,18,Run,Run - Easy,Important,6 miles,400 ft,58 min,Easy,Z1-Z2,Recovery,Easy run
5 mi easy run,2026-05-28,Thursday,18,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Easy run,Light effort
Yoga/Mobility,2026-05-28,Thursday,18,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Stretching
15 mi long run,2026-05-29,Friday,18,Run,Run - Long Run,Key Workout,15 miles,2000 ft,2 hrs 45 min,Easy,Z2,Moderate long run,Trail run; relaxed effort; rebuild confidence
Strength training,2026-05-30,Saturday,18,Strength,Strength,Optional,-,-,20 min,-,-,Maintenance,Light strength work
Rest day,2026-05-31,Sunday,19,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
7 mi easy run,2026-06-01,Monday,19,Run,Run - Easy,Important,7 miles,500 ft,68 min,Easy,Z1-Z2,Easy run,Conversational pace
6 mi easy run (Option A) / 10 mi tempo climbs (Option B),2026-06-02,Tuesday,19,Run,Run - Workout,Key Workout,6-10 miles,500-1400 ft,58-95 min,Easy/Tempo climbs,Z2/Z3,Pre-race easy OR Race-specific work,Option A: Keep it light before race; Option B: Warmup; 5x10 min tempo climbing at race effort; recovery; cooldown
4 mi shakeout (Option A) / 7 mi easy (Option B),2026-06-03,Wednesday,19,Run,Run - Easy,Important,4-7 miles,200-500 ft,38-68 min,Easy,Z1-Z2,Shakeout OR Recovery,Option A: Easy shakeout before race; Option B: Easy conversational run
Scout Mountain 23 (Option A) / 5 mi easy (Option B),2026-06-04,Thursday,19,Run,Run - Race/Easy,Key Workout,23/5 miles,4800/300 ft,5-6 hrs/48 min,Race effort/Easy,Z2-Z3/Z1-Z2,SCOUT MOUNTAIN 23 OR Pre-big weekend,Option A: Training race; practice race-day execution; nutrition; pacing; Option B: Easy shakeout
Rest (Option A) / 24 mi peak long run (Option B),2026-06-05,Friday,19,Run,Rest/Run - Long Run,Key Workout,-/24 miles,-/3800 ft,-/4 hrs 30 min,-/Moderate,-/Z2-Z3,Recovery OR Peak long run,Option A: Complete rest after race; Option B: Trail run with race-specific terrain and altitude; full race nutrition
6 mi easy (Option A) / 10 mi back-to-back (Option B),2026-06-06,Saturday,19,Run,Run - Easy/Long Run,Important,6/10 miles,600/1000 ft,60 min/1 hr 55 min,Easy,Z1/Z2,Active recovery OR Back-to-back,Option A: Very easy recovery run; Option B: Run on tired legs; practice mental game
Rest day,2026-06-07,Sunday,20,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
7 mi easy run,2026-06-08,Monday,20,Run,Run - Easy,Important,7 miles,500 ft,68 min,Easy,Z1-Z2,Pre-cruise run,Easy outdoor run before cruise
8 mi tempo run,2026-06-09,Tuesday,20,Run,Run - Workout,Key Workout,8 miles,400 ft,75 min,Tempo,Z3,Quality before cruise,10 min warmup; 40 min tempo; 10 min cooldown
4 mi treadmill run,2026-06-10,Wednesday,20,Run,Run - Easy,Important,4 miles,100 ft,38 min,Easy,Z1-Z2,Cruise begins,Treadmill or track run on ship
4 mi treadmill run,2026-06-11,Thursday,20,Run,Run - Easy,Important,4 miles,100 ft,38 min,Easy,Z1-Z2,Cruise maintenance,Treadmill or track
5 mi treadmill run,2026-06-12,Friday,20,Run,Run - Easy,Important,5 miles,100 ft,48 min,Easy,Z2,Cruise maintenance,Treadmill with some incline work
Strength training (ship gym),2026-06-13,Saturday,20,Strength,Strength - Gym,Important,-,-,30 min,-,-,Gym maintenance,Ship gym workout: bodyweight and light weights
Rest day,2026-06-14,Sunday,21,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
5 mi easy run,2026-06-15,Monday,21,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Return to land,Easy outdoor run; shake off cruise legs
8 mi tempo run,2026-06-16,Tuesday,21,Run,Run - Workout,Key Workout,8 miles,1000 ft,75 min,Tempo,Z3,Maintain sharpness,10 min warmup; 30 min steady tempo with hills; 10 min cooldown
5 mi easy run,2026-06-17,Wednesday,21,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Recovery,Easy run; cruise ends
4 mi easy run,2026-06-18,Thursday,21,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Easy run,Light shakeout
Yoga/Mobility,2026-06-18,Thursday,21,Yoga/Mobility,Yoga/Mobility,Optional,-,-,30 min,-,-,Recovery,Stretching
14 mi taper long run,2026-06-19,Friday,21,Run,Run - Long Run,Key Workout,14 miles,1600 ft,2 hrs 35 min,Easy,Z2,Taper long run,Trail run; practice race-day routine and nutrition one more time
Strength training,2026-06-20,Saturday,21,Strength,Strength,Optional,-,-,15 min,-,-,Light maintenance,Very light strength work
Rest day,2026-06-21,Sunday,22,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
5 mi easy run,2026-06-22,Monday,22,Run,Run - Easy,Important,5 miles,300 ft,48 min,Easy,Z1-Z2,Easy run,Conversational pace
7 mi progression run,2026-06-23,Tuesday,22,Run,Run - Workout,Key Workout,7 miles,800 ft,65 min,Progression,Z2-Z3,Maintain fitness,10 min easy warmup; progressive run building to tempo; 10 min cooldown
4 mi easy run,2026-06-24,Wednesday,22,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Recovery,Easy flat run
4 mi easy run,2026-06-25,Thursday,22,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Easy run,Light effort
Yoga/Mobility,2026-06-25,Thursday,22,Yoga/Mobility,Yoga/Mobility,Important,-,-,30 min,-,-,Recovery,Deep stretching
12 mi taper run,2026-06-26,Friday,22,Run,Run - Moderate,Key Workout,12 miles,1400 ft,2 hrs 10 min,Easy-Moderate,Z2,Taper run,Trail run with moderate climbing; keep it comfortable
Strength training,2026-06-27,Saturday,22,Strength,Strength,Optional,-,-,15 min,-,-,Maintenance,Light bodyweight work
Rest day,2026-06-28,Sunday,23,Rest,Rest,Important,-,-,-,-,-,Recovery,Complete rest day
4 mi easy run,2026-06-29,Monday,23,Run,Run - Easy,Important,4 miles,200 ft,38 min,Easy,Z1-Z2,Easy run,Conversational pace
6 mi race pace workout,2026-06-30,Tuesday,23,Run,Run - Workout,Key Workout,6 miles,600 ft,55 min,Race pace,Z2-Z3,Final sharpening,10 min warmup; 3x8 min at race pace; easy recovery; cooldown
